"Story","Title","Result","Date","Stability","Duration (s)"
"Find distance between two places using the Google Maps Distance Matrix API","API Test 01","SUCCESS","2017-06-11T18:07:00.647+01:00","0.0","10.46"
"Find distance between two places using the Google Maps Distance Matrix API","API Test 02","SUCCESS","2017-06-11T18:07:22.933+01:00","0.0","0.34"
